token,ndocs,frequency,e,ne,eprop,freq_bins,ndocs_bins,logfreq_bins,rank,N1,N0,P1,P0,x,WOEValue,token_length,WOEAbs,flg_singleLabel,WOERanks,lengthRanks
05,163,304,30.0,133.0,0.09868421052631579,2,2,2,65,139,716,0.2158273381294964,0.1857541899441341,1.1618975496294692,0.15005448727035536,2.0,0.15005448727035536,0,4.0,2.0
john,133,303,31.0,102.0,0.10231023102310231,2,2,2,66,139,716,0.22302158273381295,0.1424581005586592,1.5655240513471578,0.44822062503082916,4.0,0.44822062503082916,0,4.0,3.0
iso,52,301,36.0,16.0,0.11960132890365449,2,1,2,67,139,716,0.2589928057553957,0.0223463687150838,11.589928057553957,2.4501364500462826,3.0,2.4501364500462826,0,6.0,2.0
6,100,296,32.0,68.0,0.10810810810810811,2,2,2,68,139,716,0.2302158273381295,0.09497206703910614,2.4240372407955992,0.8854344314535738,1.0,0.8854344314535738,0,5.0,1.0
09,151,296,21.0,130.0,0.07094594594594594,2,2,2,69,139,716,0.1510791366906475,0.18156424581005587,0.8320973990038738,-0.1838057789022056,2.0,0.1838057789022056,0,3.0,2.0
03,171,296,31.0,140.0,0.10472972972972973,2,2,2,70,139,716,0.22302158273381295,0.19553072625698323,1.1405960945529292,0.13155101570579592,2.0,0.13155101570579592,0,4.0,2.0
last,153,288,52.0,101.0,0.18055555555555555,2,2,2,71,139,716,0.37410071942446044,0.14106145251396648,2.6520407436427096,0.9753294355701217,4.0,0.9753294355701217,0,5.0,3.0
see,189,279,38.0,151.0,0.13620071684587814,2,2,2,72,139,716,0.2733812949640288,0.21089385474860337,1.296298060889037,0.25951255674141527,3.0,0.25951255674141527,0,4.0,2.0
year,106,279,37.0,69.0,0.13261648745519714,2,2,2,73,139,716,0.26618705035971224,0.09636871508379888,2.762172870399333,1.0160176418769191,4.0,1.0160176418769191,0,5.0,3.0
utilities,69,276,42.0,27.0,0.15217391304347827,2,1,2,74,139,716,0.302158273381295,0.03770949720670391,8.012789768185451,2.081038986108993,9.0,2.081038986108993,0,6.0,3.0
get,178,272,47.0,131.0,0.17279411764705882,2,2,2,75,139,716,0.3381294964028777,0.1829608938547486,1.8480970948432096,0.614156512338861,3.0,0.614156512338861,0,4.0,2.0
15,139,269,29.0,110.0,0.10780669144981413,2,2,2,76,139,716,0.20863309352517986,0.15363128491620112,1.3580117724002616,0.30602169802401163,2.0,0.30602169802401163,0,4.0,2.0
et,47,269,14.0,33.0,0.05204460966542751,2,1,2,77,139,716,0.10071942446043165,0.046089385474860335,2.185306300414214,0.7817560019787323,2.0,0.7817560019787323,0,5.0,2.0
david,117,268,17.0,100.0,0.06343283582089553,2,2,2,78,139,716,0.1223021582733813,0.13966480446927373,0.8756834532374101,-0.13275060810192135,5.0,0.13275060810192135,0,3.0,3.0
sent,188,266,41.0,147.0,0.15413533834586465,2,2,2,79,139,716,0.2949640287769784,0.2053072625698324,1.436695541525963,0.36234571375552543,4.0,0.36234571375552543,0,4.0,3.0
two,129,266,49.0,80.0,0.18421052631578946,2,2,2,80,139,716,0.35251798561151076,0.11173184357541899,3.1550359712230214,1.1489998972666988,3.0,1.1489998972666988,0,5.0,2.0
markets,84,266,39.0,45.0,0.14661654135338345,2,1,2,81,139,716,0.2805755395683453,0.06284916201117319,4.464268585131894,1.4961053901892805,7.0,1.4961053901892805,0,5.0,3.0
like,164,265,42.0,122.0,0.15849056603773584,2,2,2,82,139,716,0.302158273381295,0.17039106145251395,1.7733223257459607,0.5728548073800657,4.0,0.5728548073800657,0,4.0,3.0
08,155,264,35.0,120.0,0.13257575757575757,2,2,2,83,139,716,0.2517985611510791,0.16759776536312848,1.5023980815347722,0.40706255253732154,2.0,0.40706255253732154,0,4.0,2.0
message,155,264,40.0,115.0,0.15151515151515152,2,2,2,84,139,716,0.28776978417266186,0.16061452513966482,1.7916796997184858,0.58315355958064,7.0,0.58315355958064,0,4.0,3.0
jeff,129,262,48.0,81.0,0.183206106870229,2,2,2,85,139,716,0.34532374100719426,0.11312849162011174,3.0524913402611245,1.115958090065406,4.0,1.115958090065406,0,5.0,3.0
000,85,259,35.0,50.0,0.13513513513513514,2,1,2,86,139,716,0.2517985611510791,0.06983240223463687,3.6057553956834534,1.2825312898912216,3.0,1.2825312898912216,0,5.0,2.0
business,98,254,26.0,72.0,0.10236220472440945,2,1,2,87,139,716,0.18705035971223022,0.1005586592178771,1.8601119104716226,0.6206366528353805,8.0,0.6206366528353805,0,4.0,3.0
houston,102,253,12.0,90.0,0.04743083003952569,2,2,2,88,139,716,0.08633093525179857,0.12569832402234637,0.686810551558753,-0.3756967867123108,7.0,0.3756967867123108,0,3.0,3.0
credit,77,251,12.0,65.0,0.04780876494023904,2,1,2,89,139,716,0.08633093525179857,0.09078212290502793,0.9509684560044273,-0.050274386277682916,6.0,0.050274386277682916,0,3.0,3.0
deal,102,250,25.0,77.0,0.1,2,2,2,90,139,716,0.17985611510791366,0.10754189944134078,1.672428291133327,0.5142766368444707,4.0,0.5142766368444707,0,4.0,3.0
06,141,249,29.0,112.0,0.11646586345381527,2,2,2,91,139,716,0.20863309352517986,0.1564245810055866,1.3337615621788284,0.28800319252133333,2.0,0.28800319252133333,0,4.0,2.0
use,128,249,44.0,84.0,0.17670682730923695,2,2,2,92,139,716,0.31654676258992803,0.11731843575418995,2.698184309695101,0.9925790689049014,3.0,0.9925790689049014,0,5.0,2.0
30,126,248,40.0,86.0,0.16129032258064516,2,2,2,93,139,716,0.28776978417266186,0.12011173184357542,2.395850761251464,0.8737383916903825,2.0,0.8737383916903825,0,5.0,2.0
forward,146,244,38.0,108.0,0.1557377049180328,2,2,2,94,139,716,0.2733812949640288,0.15083798882681565,1.8124167332800427,0.59466116643212,7.0,0.59466116643212,0,4.0,3.0
jones,88,243,26.0,62.0,0.10699588477366255,2,1,2,95,139,716,0.18705035971223022,0.08659217877094973,2.1601299605476907,0.7701683868063443,5.0,0.7701683868063443,0,5.0,3.0
gov,38,241,19.0,19.0,0.07883817427385892,2,1,2,96,139,716,0.1366906474820144,0.02653631284916201,5.151079136690648,1.639206233829954,3.0,1.639206233829954,0,5.0,2.0
commission,76,241,42.0,34.0,0.17427385892116182,2,1,2,97,139,716,0.302158273381295,0.04748603351955307,6.363097757088448,1.8505153274971609,10.0,1.8505153274971609,0,5.0,4.0
report,104,239,36.0,68.0,0.1506276150627615,2,2,2,98,139,716,0.2589928057553957,0.09497206703910614,2.7270418958950486,1.0032174671099572,6.0,1.0032174671099572,0,5.0,3.0
713,105,236,9.0,96.0,0.038135593220338986,2,2,2,99,139,716,0.06474820143884892,0.1340782122905028,0.4829136690647482,-0.727917380301663,3.0,0.727917380301663,0,2.0,2.0
group,115,235,28.0,87.0,0.11914893617021277,2,2,2,100,139,716,0.2014388489208633,0.12150837988826815,1.6578185727280246,0.5055026253505741,5.0,0.5055026253505741,0,4.0,3.0
contracts,85,232,31.0,54.0,0.1336206896551724,2,1,2,101,139,716,0.22302158273381295,0.07541899441340782,2.957100985877964,1.0842093917508258,9.0,1.0842093917508258,0,5.0,3.0
8,93,230,27.0,66.0,0.11739130434782609,2,1,2,102,139,716,0.19424460431654678,0.09217877094972067,2.1072596468279925,0.7453883578078575,1.0,0.7453883578078575,0,4.0,1.0
net,71,228,20.0,51.0,0.08771929824561403,2,1,2,103,139,716,0.14388489208633093,0.0712290502793296,2.0200310339963323,0.703112874659619,3.0,0.703112874659619,0,4.0,2.0
risk,81,226,22.0,59.0,0.09734513274336283,2,1,2,104,139,716,0.15827338129496402,0.0824022346368715,1.9207413730032923,0.6527112432825503,4.0,0.6527112432825503,0,4.0,3.0
l,118,224,33.0,85.0,0.14732142857142858,2,2,2,105,139,716,0.23741007194244604,0.11871508379888268,1.999830723656369,0.6930625388061177,1.0,0.6930625388061177,0,4.0,1.0
07,131,224,20.0,111.0,0.08928571428571429,2,2,2,106,139,716,0.14388489208633093,0.15502793296089384,0.9281223669712878,-0.07459169392838931,2.0,0.07459169392838931,0,3.0,2.0
transmission,60,223,33.0,27.0,0.14798206278026907,2,1,2,107,139,716,0.23741007194244604,0.03770949720670391,6.2957633892885685,1.839876929292105,12.0,1.839876929292105,0,5.0,4.0
draft,109,221,19.0,90.0,0.08597285067873303,2,2,2,108,139,716,0.1366906474820144,0.12569832402234637,1.0874500399680256,0.08383554266612925,5.0,0.08383554266612925,0,4.0,3.0
review,147,220,25.0,122.0,0.11363636363636363,2,2,2,109,139,716,0.17985611510791366,0.17039106145251395,1.0555490034202146,0.05406101396489803,6.0,0.05406101396489803,0,4.0,3.0
system,111,219,57.0,54.0,0.2602739726027397,2,2,2,110,139,716,0.41007194244604317,0.07541899441340782,5.437250199840127,1.6932734551002295,6.0,1.6932734551002295,0,5.0,3.0
supply,98,219,48.0,50.0,0.2191780821917808,2,1,2,111,139,716,0.34532374100719426,0.06983240223463687,4.945035971223022,1.5983842393096988,6.0,1.5983842393096988,0,5.0,3.0
companies,64,218,32.0,32.0,0.14678899082568808,2,1,2,112,139,716,0.2302158273381295,0.0446927374301676,5.151079136690647,1.6392062338299538,9.0,1.6392062338299538,0,5.0,3.0
electric,66,218,31.0,35.0,0.14220183486238533,2,1,2,113,139,716,0.22302158273381295,0.04888268156424581,4.562384378211717,1.5178453768256865,8.0,1.5178453768256865,0,5.0,3.0
week,131,217,33.0,98.0,0.15207373271889402,2,2,2,114,139,716,0.23741007194244604,0.13687150837988826,1.734547056232565,0.5507463166258623,4.0,0.5507463166258623,0,4.0,3.0
customers,70,217,37.0,33.0,0.17050691244239632,2,1,2,115,139,716,0.26618705035971224,0.046089385474860335,5.775452365380423,1.7536165850076981,9.0,1.7536165850076981,0,5.0,3.0
changes,117,217,23.0,94.0,0.10599078341013825,2,2,2,116,139,716,0.16546762589928057,0.13128491620111732,1.2603704270626053,0.2314056674890997,7.0,0.2314056674890997,0,4.0,3.0
meeting,107,216,37.0,70.0,0.1712962962962963,2,2,2,117,139,716,0.26618705035971224,0.09776536312849161,2.7227132579650566,1.0016289044248192,7.0,1.0016289044248192,0,5.0,3.0
first,112,214,35.0,77.0,0.16355140186915887,2,2,2,118,139,716,0.2517985611510791,0.10754189944134078,2.341399607586658,0.8507488734656836,5.0,0.8507488734656836,0,5.0,3.0
natural,63,211,29.0,34.0,0.13744075829383887,2,1,2,119,139,716,0.20863309352517986,0.04748603351955307,4.393567498942023,1.4801415392002666,7.0,1.4801415392002666,0,5.0,3.0
per,125,210,40.0,85.0,0.19047619047619047,2,2,2,120,139,716,0.28776978417266186,0.11871508379888268,2.424037240795599,0.8854344314535737,3.0,0.8854344314535737,0,5.0,2.0
demand,72,209,46.0,26.0,0.22009569377990432,2,1,2,121,139,716,0.33093525179856115,0.036312849162011177,9.11344770337576,2.2097510922975667,6.0,2.2097510922975667,0,6.0,3.0
7,100,208,28.0,72.0,0.1346153846153846,2,2,2,122,139,716,0.2014388489208633,0.1005586592178771,2.0031974420463627,0.6947446249891024,1.0,0.6947446249891024,0,4.0,1.0
c,106,208,32.0,74.0,0.15384615384615385,2,2,2,123,139,716,0.2302158273381295,0.10335195530726257,2.227493680731091,0.8008770434255107,1.0,0.8008770434255107,0,5.0,1.0
generation,65,207,41.0,24.0,0.19806763285024154,2,1,2,124,139,716,0.2949640287769784,0.0335195530726257,8.799760191846524,2.174724470186316,10.0,2.174724470186316,0,6.0,4.0
pg,70,207,29.0,41.0,0.14009661835748793,2,1,2,125,139,716,0.20863309352517986,0.05726256983240224,3.6434462186348484,1.2929299971121202,2.0,1.2929299971121202,0,5.0,2.0
comments,137,202,25.0,112.0,0.12376237623762376,2,2,2,126,139,716,0.17985611510791366,0.1564245810055866,1.1497944501541624,0.13958318740306006,8.0,0.13958318740306006,0,4.0,3.0
0,59,202,17.0,42.0,0.08415841584158416,2,1,2,127,139,716,0.1223021582733813,0.05865921787709497,2.0849606029462144,0.7347499596028016,1.0,0.7347499596028016,0,4.0,1.0
fax,144,202,22.0,122.0,0.10891089108910891,2,2,2,128,139,716,0.15827338129496402,0.17039106145251395,0.9288831230097889,-0.07377235754498682,3.0,0.07377235754498682,0,3.0,2.0
questions,168,201,30.0,138.0,0.14925373134328357,2,2,2,129,139,716,0.2158273381294964,0.19273743016759776,1.1197998123240538,0.11314993033490453,9.0,0.11314993033490453,0,4.0,3.0
capacity,77,198,44.0,33.0,0.2222222222222222,2,1,2,130,139,716,0.31654676258992803,0.046089385474860335,6.868105515587529,1.9268883062817346,8.0,1.9268883062817346,0,5.0,3.0
next,113,198,36.0,77.0,0.18181818181818182,2,2,2,131,139,716,0.2589928057553957,0.10754189944134078,2.408296739231991,0.87891975043238,4.0,0.87891975043238,0,5.0,3.0
order,90,196,36.0,54.0,0.1836734693877551,2,1,2,132,139,716,0.2589928057553957,0.07541899441340782,3.434052757793765,1.2337411257217894,5.0,1.2337411257217894,0,5.0,3.0
vince,50,195,5.0,45.0,0.02564102564102564,2,1,2,133,139,716,0.03597122302158273,0.06284916201117319,0.5723421262989608,-0.5580183435062657,5.0,0.5580183435062657,0,2.0,3.0
20,110,194,31.0,79.0,0.15979381443298968,2,2,2,134,139,716,0.22302158273381295,0.11033519553072625,2.0213095346507606,0.7037455858480787,2.0,0.7037455858480787,0,4.0,2.0
make,121,194,45.0,76.0,0.23195876288659795,2,2,2,135,139,716,0.3237410071942446,0.10614525139664804,3.049981067777357,1.1151353833139424,4.0,1.1151353833139424,0,5.0,3.0
contract,78,192,22.0,56.0,0.11458333333333333,2,1,2,136,139,716,0.15827338129496402,0.0782122905027933,2.0236382322713258,0.7048969964531204,8.0,0.7048969964531204,0,4.0,3.0
bill,76,191,27.0,49.0,0.14136125654450263,2,1,2,137,139,716,0.19424460431654678,0.06843575418994413,2.838349728380561,1.0432228017236564,4.0,1.0432228017236564,0,5.0,3.0
wholesale,58,190,36.0,22.0,0.18947368421052632,2,1,2,138,139,716,0.2589928057553957,0.030726256983240222,8.429038587311968,2.131682718927748,9.0,2.131682718927748,0,6.0,3.0
davis,48,190,21.0,27.0,0.11052631578947368,2,1,2,139,139,716,0.1510791366906475,0.03770949720670391,4.0063948840927255,1.3878918055490477,5.0,1.3878918055490477,0,5.0,3.0
legal,112,190,18.0,94.0,0.09473684210526316,2,2,2,140,139,716,0.12949640287769784,0.13128491620111732,0.9863768559620388,-0.013716790543885393,5.0,0.013716790543885393,0,3.0,3.0
rate,72,188,38.0,34.0,0.20212765957446807,2,1,2,141,139,716,0.2733812949640288,0.04748603351955307,5.757088446889548,1.7504318689401783,4.0,1.7504318689401783,0,5.0,3.0
mary,93,186,28.0,65.0,0.15053763440860216,2,1,2,142,139,716,0.2014388489208633,0.09078212290502793,2.2189263973436635,0.7970234741095207,4.0,0.7970234741095207,0,5.0,3.0
term,81,184,36.0,45.0,0.1956521739130435,2,1,2,143,139,716,0.2589928057553957,0.06284916201117319,4.120863309352518,1.416062682515744,4.0,1.416062682515744,0,5.0,3.0
since,100,184,34.0,66.0,0.18478260869565216,2,2,2,144,139,716,0.2446043165467626,0.09217877094972067,2.653586221931546,0.9759120164196897,5.0,0.9759120164196897,0,5.0,3.0
50,75,183,28.0,47.0,0.15300546448087432,2,1,2,145,139,716,0.2014388489208633,0.06564245810055866,3.068727996326343,1.1212631422950992,2.0,1.1212631422950992,0,5.0,2.0
co,54,182,14.0,40.0,0.07692307692307693,2,1,2,146,139,716,0.10071942446043165,0.055865921787709494,1.8028776978417267,0.5893841093312762,2.0,0.5893841093312762,0,4.0,2.0
utility,60,181,34.0,26.0,0.1878453038674033,2,1,2,147,139,716,0.2446043165467626,0.036312849162011177,6.7360265633646925,1.9074702204246332,7.0,1.9074702204246332,0,5.0,3.0
