token,ndocs,frequency,e,ne,eprop,freq_bins,ndocs_bins,logfreq_bins,rank,N1,N0,P1,P0,WOEValue,token_length,WOEAbs,flg_singleLabel
pm,427,860,77.0,350.0,0.08953488372093023,2,2,2,14,139,716,0.5539568345323741,0.4888268156424581,0.12507850120017835,2.0,0.12507850120017835,0
cc,511,850,89.0,422.0,0.10470588235294118,2,2,2,15,139,716,0.6402877697841727,0.5893854748603352,0.08283728952608191,2.0,0.08283728952608191,0
would,278,829,89.0,189.0,0.10735826296743065,2,2,2,16,139,716,0.6402877697841727,0.2639664804469274,0.8860955885024513,5.0,0.8860955885024513,0
california,134,782,80.0,54.0,0.10230179028132992,2,2,2,17,139,716,0.5755395683453237,0.07541899441340782,2.032248821939561,10.0,2.032248821939561,0
1,252,780,75.0,177.0,0.09615384615384616,2,2,2,18,139,716,0.539568345323741,0.24720670391061453,0.7805446147924351,1.0,0.7805446147924351,0
please,455,779,62.0,393.0,0.07958921694480103,2,2,2,19,139,716,0.4460431654676259,0.5488826815642458,-0.20746899299421578,6.0,0.20746899299421578,0
corp,250,687,51.0,199.0,0.07423580786026202,2,2,2,20,139,716,0.3669064748201439,0.2779329608938548,0.27772704182978714,4.0,0.27772704182978714,0
state,112,686,60.0,52.0,0.08746355685131195,2,2,2,21,139,716,0.4316546762589928,0.07262569832402235,1.782307077470627,5.0,1.782307077470627,0
ees,69,626,25.0,44.0,0.039936102236421724,2,1,2,22,139,716,0.17985611510791366,0.061452513966480445,1.0738924247798933,3.0,1.0738924247798933,0
2,223,587,64.0,159.0,0.10902896081771721,2,2,2,23,139,716,0.460431654676259,0.22206703910614525,0.7291851149693942,1.0,0.7291851149693942,0
10,261,577,61.0,200.0,0.10571923743500866,2,2,2,24,139,716,0.43884892086330934,0.27932960893854747,0.4517627314552285,2.0,0.4517627314552285,0
electricity,84,549,56.0,28.0,0.10200364298724955,2,1,2,25,139,716,0.4028776978417266,0.03910614525139665,2.332353414389899,11.0,2.332353414389899,0
price,147,549,75.0,72.0,0.1366120218579235,2,2,2,26,139,716,0.539568345323741,0.1005586592178771,1.6800282283502088,5.0,1.6800282283502088,0
said,85,545,46.0,39.0,0.08440366972477065,2,1,2,27,139,716,0.33093525179856115,0.05446927374301676,1.8042859841894026,4.0,1.8042859841894026,0
new,180,537,57.0,123.0,0.10614525139664804,2,2,2,28,139,716,0.41007194244604317,0.1717877094972067,0.8700731462920865,3.0,0.8700731462920865,0
01,235,534,44.0,191.0,0.08239700374531835,2,2,2,29,139,716,0.31654676258992803,0.26675977653631283,0.1711224397015852,2.0,0.1711224397015852,0
12,233,523,54.0,179.0,0.10325047801147227,2,2,2,30,139,716,0.38848920863309355,0.25,0.4408044745534733,2.0,0.4408044745534733,0
forwarded,389,520,72.0,317.0,0.13846153846153847,2,2,2,31,139,716,0.5179856115107914,0.44273743016759776,0.1569705789687286,9.0,0.1569705789687286,0
may,225,511,61.0,164.0,0.11937377690802348,2,2,2,32,139,716,0.43884892086330934,0.22905027932960895,0.6502136701790667,3.0,0.6502136701790667,0
3,185,505,49.0,136.0,0.09702970297029703,2,2,2,33,139,716,0.35251798561151076,0.18994413407821228,0.6183716462045284,1.0,0.6183716462045284,0
11,252,504,61.0,191.0,0.12103174603174603,2,2,2,34,139,716,0.43884892086330934,0.26675977653631283,0.49780666995663525,2.0,0.49780666995663525,0
attached,378,504,42.0,336.0,0.08333333333333333,2,2,2,35,139,716,0.302158273381295,0.4692737430167598,-0.4402353078498821,8.0,0.4402353078498821,0
development,84,496,20.0,64.0,0.04032258064516129,2,1,2,36,139,716,0.14388489208633093,0.0893854748603352,0.476055424024273,11.0,0.476055424024273,0
also,224,452,67.0,157.0,0.14823008849557523,2,2,2,37,139,716,0.48201438848920863,0.21927374301675978,0.7876530478726118,4.0,0.7876530478726118,0
na,152,447,43.0,109.0,0.09619686800894854,2,2,2,38,139,716,0.30935251798561153,0.15223463687150837,0.7090584672943727,2.0,0.7090584672943727,0
us,179,415,34.0,145.0,0.0819277108433735,2,2,2,39,139,716,0.2446043165467626,0.20251396648044692,0.18883301602554087,2.0,0.18883301602554087,0
information,191,413,43.0,148.0,0.10411622276029056,2,2,2,40,139,716,0.30935251798561153,0.20670391061452514,0.40319407575940125,11.0,0.40319407575940125,0
time,188,404,56.0,132.0,0.13861386138613863,2,2,2,41,139,716,0.4028776978417266,0.18435754189944134,0.7817560019787323,4.0,0.7817560019787323,0
know,266,395,46.0,220.0,0.11645569620253164,2,2,2,42,139,716,0.33093525179856115,0.30726256983240224,0.07422008396668728,4.0,0.07422008396668728,0
prices,99,391,60.0,39.0,0.1534526854219949,2,1,2,43,139,716,0.4316546762589928,0.05446927374301676,2.0699891499224083,6.0,2.0699891499224083,0
one,182,391,60.0,122.0,0.1534526854219949,2,2,2,44,139,716,0.4316546762589928,0.17039106145251395,0.9295297513187981,3.0,0.9295297513187981,0
ferc,84,386,43.0,41.0,0.11139896373056994,2,1,2,45,139,716,0.30935251798561153,0.05726256983240224,1.6868342828192087,4.0,1.6868342828192087,0
thanks,282,384,28.0,254.0,0.07291666666666667,2,2,2,46,139,716,0.2014388489208633,0.3547486033519553,-0.5659235230133788,6.0,0.5659235230133788,0
5,146,383,42.0,104.0,0.10966057441253264,2,2,2,47,139,716,0.302158273381295,0.1452513966480447,0.7324849529719494,1.0,0.7324849529719494,0
ca,62,378,26.0,36.0,0.06878306878306878,2,1,2,48,139,716,0.18705035971223022,0.05027932960893855,1.3137838333953258,2.0,1.3137838333953258,0
4,164,357,45.0,119.0,0.12605042016806722,2,2,2,49,139,716,0.3237410071942446,0.16620111731843576,0.6667452304887441,1.0,0.6667452304887441,0
j,166,350,48.0,118.0,0.13714285714285715,2,2,2,50,139,716,0.34532374100719426,0.164804469273743,0.73972262027218,1.0,0.73972262027218,0
doc,154,344,12.0,142.0,0.03488372093023256,2,2,2,51,139,716,0.08633093525179857,0.19832402234636873,-0.8317141739833065,3.0,0.8317141739833065,0
14,97,344,21.0,76.0,0.061046511627906974,2,1,2,52,139,716,0.1510791366906475,0.10614525139664804,0.3529953312670458,2.0,0.3529953312670458,0
company,110,340,44.0,66.0,0.12941176470588237,2,2,2,53,139,716,0.31654676258992803,0.09217877094972067,1.2337411257217894,7.0,1.2337411257217894,0
call,209,336,35.0,174.0,0.10416666666666667,2,2,2,54,139,716,0.2517985611510791,0.2430167597765363,0.035498996104838594,4.0,0.035498996104838594,0
need,191,335,51.0,140.0,0.15223880597014924,2,2,2,55,139,716,0.3669064748201439,0.19553072625698323,0.6293894439449754,4.0,0.6293894439449754,0
00,134,334,32.0,102.0,0.09580838323353294,2,2,2,56,139,716,0.2302158273381295,0.1424581005586592,0.4799693233454094,2.0,0.4799693233454094,0
02,176,333,25.0,151.0,0.07507507507507508,2,2,2,57,139,716,0.17985611510791366,0.21089385474860337,-0.15919777811676977,2.0,0.15919777811676977,0
agreement,133,329,20.0,113.0,0.060790273556231005,2,2,2,58,139,716,0.14388489208633093,0.15782122905027932,-0.09244931132839565,9.0,0.09244931132839565,0
day,136,322,52.0,84.0,0.16149068322981366,2,2,2,59,139,716,0.37410071942446044,0.11731843575418995,1.1596331535680675,3.0,1.1596331535680675,0
could,164,320,66.0,98.0,0.20625,2,2,2,60,139,716,0.4748201438848921,0.13687150837988826,1.2438934971858076,5.0,1.2438934971858076,0
trading,94,316,25.0,69.0,0.07911392405063292,2,1,2,61,139,716,0.17985611510791366,0.09636871508379888,0.6239755541008952,7.0,0.6239755541008952,0
04,171,309,34.0,137.0,0.11003236245954692,2,2,2,62,139,716,0.2446043165467626,0.19134078212290503,0.24558583261799038,2.0,0.24558583261799038,0
mark,153,309,23.0,130.0,0.0744336569579288,2,2,2,63,139,716,0.16546762589928057,0.18156424581005587,-0.09283400069647886,4.0,0.09283400069647886,0
let,231,308,39.0,192.0,0.1266233766233766,2,2,2,64,139,716,0.2805755395683453,0.2681564245810056,0.04527250793181862,3.0,0.04527250793181862,0
05,163,304,30.0,133.0,0.09868421052631579,2,2,2,65,139,716,0.2158273381294964,0.1857541899441341,0.15005448727035536,2.0,0.15005448727035536,0
john,133,303,31.0,102.0,0.10231023102310231,2,2,2,66,139,716,0.22302158273381295,0.1424581005586592,0.44822062503082916,4.0,0.44822062503082916,0
iso,52,301,36.0,16.0,0.11960132890365449,2,1,2,67,139,716,0.2589928057553957,0.0223463687150838,2.4501364500462826,3.0,2.4501364500462826,0
6,100,296,32.0,68.0,0.10810810810810811,2,2,2,68,139,716,0.2302158273381295,0.09497206703910614,0.8854344314535738,1.0,0.8854344314535738,0
09,151,296,21.0,130.0,0.07094594594594594,2,2,2,69,139,716,0.1510791366906475,0.18156424581005587,-0.1838057789022056,2.0,0.1838057789022056,0
03,171,296,31.0,140.0,0.10472972972972973,2,2,2,70,139,716,0.22302158273381295,0.19553072625698323,0.13155101570579592,2.0,0.13155101570579592,0
last,153,288,52.0,101.0,0.18055555555555555,2,2,2,71,139,716,0.37410071942446044,0.14106145251396648,0.9753294355701217,4.0,0.9753294355701217,0
see,189,279,38.0,151.0,0.13620071684587814,2,2,2,72,139,716,0.2733812949640288,0.21089385474860337,0.25951255674141527,3.0,0.25951255674141527,0
year,106,279,37.0,69.0,0.13261648745519714,2,2,2,73,139,716,0.26618705035971224,0.09636871508379888,1.0160176418769191,4.0,1.0160176418769191,0
utilities,69,276,42.0,27.0,0.15217391304347827,2,1,2,74,139,716,0.302158273381295,0.03770949720670391,2.081038986108993,9.0,2.081038986108993,0
get,178,272,47.0,131.0,0.17279411764705882,2,2,2,75,139,716,0.3381294964028777,0.1829608938547486,0.614156512338861,3.0,0.614156512338861,0
15,139,269,29.0,110.0,0.10780669144981413,2,2,2,76,139,716,0.20863309352517986,0.15363128491620112,0.30602169802401163,2.0,0.30602169802401163,0
et,47,269,14.0,33.0,0.05204460966542751,2,1,2,77,139,716,0.10071942446043165,0.046089385474860335,0.7817560019787323,2.0,0.7817560019787323,0
david,117,268,17.0,100.0,0.06343283582089553,2,2,2,78,139,716,0.1223021582733813,0.13966480446927373,-0.13275060810192135,5.0,0.13275060810192135,0
sent,188,266,41.0,147.0,0.15413533834586465,2,2,2,79,139,716,0.2949640287769784,0.2053072625698324,0.36234571375552543,4.0,0.36234571375552543,0
two,129,266,49.0,80.0,0.18421052631578946,2,2,2,80,139,716,0.35251798561151076,0.11173184357541899,1.1489998972666988,3.0,1.1489998972666988,0
markets,84,266,39.0,45.0,0.14661654135338345,2,1,2,81,139,716,0.2805755395683453,0.06284916201117319,1.4961053901892805,7.0,1.4961053901892805,0
like,164,265,42.0,122.0,0.15849056603773584,2,2,2,82,139,716,0.302158273381295,0.17039106145251395,0.5728548073800657,4.0,0.5728548073800657,0
08,155,264,35.0,120.0,0.13257575757575757,2,2,2,83,139,716,0.2517985611510791,0.16759776536312848,0.40706255253732154,2.0,0.40706255253732154,0
message,155,264,40.0,115.0,0.15151515151515152,2,2,2,84,139,716,0.28776978417266186,0.16061452513966482,0.58315355958064,7.0,0.58315355958064,0
jeff,129,262,48.0,81.0,0.183206106870229,2,2,2,85,139,716,0.34532374100719426,0.11312849162011174,1.115958090065406,4.0,1.115958090065406,0
000,85,259,35.0,50.0,0.13513513513513514,2,1,2,86,139,716,0.2517985611510791,0.06983240223463687,1.2825312898912216,3.0,1.2825312898912216,0
business,98,254,26.0,72.0,0.10236220472440945,2,1,2,87,139,716,0.18705035971223022,0.1005586592178771,0.6206366528353805,8.0,0.6206366528353805,0
houston,102,253,12.0,90.0,0.04743083003952569,2,2,2,88,139,716,0.08633093525179857,0.12569832402234637,-0.3756967867123108,7.0,0.3756967867123108,0
credit,77,251,12.0,65.0,0.04780876494023904,2,1,2,89,139,716,0.08633093525179857,0.09078212290502793,-0.050274386277682916,6.0,0.050274386277682916,0
deal,102,250,25.0,77.0,0.1,2,2,2,90,139,716,0.17985611510791366,0.10754189944134078,0.5142766368444707,4.0,0.5142766368444707,0
06,141,249,29.0,112.0,0.11646586345381527,2,2,2,91,139,716,0.20863309352517986,0.1564245810055866,0.28800319252133333,2.0,0.28800319252133333,0
use,128,249,44.0,84.0,0.17670682730923695,2,2,2,92,139,716,0.31654676258992803,0.11731843575418995,0.9925790689049014,3.0,0.9925790689049014,0
30,126,248,40.0,86.0,0.16129032258064516,2,2,2,93,139,716,0.28776978417266186,0.12011173184357542,0.8737383916903825,2.0,0.8737383916903825,0
forward,146,244,38.0,108.0,0.1557377049180328,2,2,2,94,139,716,0.2733812949640288,0.15083798882681565,0.59466116643212,7.0,0.59466116643212,0
jones,88,243,26.0,62.0,0.10699588477366255,2,1,2,95,139,716,0.18705035971223022,0.08659217877094973,0.7701683868063443,5.0,0.7701683868063443,0
gov,38,241,19.0,19.0,0.07883817427385892,2,1,2,96,139,716,0.1366906474820144,0.02653631284916201,1.639206233829954,3.0,1.639206233829954,0
commission,76,241,42.0,34.0,0.17427385892116182,2,1,2,97,139,716,0.302158273381295,0.04748603351955307,1.8505153274971609,10.0,1.8505153274971609,0
report,104,239,36.0,68.0,0.1506276150627615,2,2,2,98,139,716,0.2589928057553957,0.09497206703910614,1.0032174671099572,6.0,1.0032174671099572,0
713,105,236,9.0,96.0,0.038135593220338986,2,2,2,99,139,716,0.06474820143884892,0.1340782122905028,-0.727917380301663,3.0,0.727917380301663,0
group,115,235,28.0,87.0,0.11914893617021277,2,2,2,100,139,716,0.2014388489208633,0.12150837988826815,0.5055026253505741,5.0,0.5055026253505741,0
contracts,85,232,31.0,54.0,0.1336206896551724,2,1,2,101,139,716,0.22302158273381295,0.07541899441340782,1.0842093917508258,9.0,1.0842093917508258,0
8,93,230,27.0,66.0,0.11739130434782609,2,1,2,102,139,716,0.19424460431654678,0.09217877094972067,0.7453883578078575,1.0,0.7453883578078575,0
net,71,228,20.0,51.0,0.08771929824561403,2,1,2,103,139,716,0.14388489208633093,0.0712290502793296,0.703112874659619,3.0,0.703112874659619,0
risk,81,226,22.0,59.0,0.09734513274336283,2,1,2,104,139,716,0.15827338129496402,0.0824022346368715,0.6527112432825503,4.0,0.6527112432825503,0
l,118,224,33.0,85.0,0.14732142857142858,2,2,2,105,139,716,0.23741007194244604,0.11871508379888268,0.6930625388061177,1.0,0.6930625388061177,0
07,131,224,20.0,111.0,0.08928571428571429,2,2,2,106,139,716,0.14388489208633093,0.15502793296089384,-0.07459169392838931,2.0,0.07459169392838931,0
transmission,60,223,33.0,27.0,0.14798206278026907,2,1,2,107,139,716,0.23741007194244604,0.03770949720670391,1.839876929292105,12.0,1.839876929292105,0
draft,109,221,19.0,90.0,0.08597285067873303,2,2,2,108,139,716,0.1366906474820144,0.12569832402234637,0.08383554266612925,5.0,0.08383554266612925,0
review,147,220,25.0,122.0,0.11363636363636363,2,2,2,109,139,716,0.17985611510791366,0.17039106145251395,0.05406101396489803,6.0,0.05406101396489803,0
system,111,219,57.0,54.0,0.2602739726027397,2,2,2,110,139,716,0.41007194244604317,0.07541899441340782,1.6932734551002295,6.0,1.6932734551002295,0
supply,98,219,48.0,50.0,0.2191780821917808,2,1,2,111,139,716,0.34532374100719426,0.06983240223463687,1.5983842393096988,6.0,1.5983842393096988,0
companies,64,218,32.0,32.0,0.14678899082568808,2,1,2,112,139,716,0.2302158273381295,0.0446927374301676,1.6392062338299538,9.0,1.6392062338299538,0
electric,66,218,31.0,35.0,0.14220183486238533,2,1,2,113,139,716,0.22302158273381295,0.04888268156424581,1.5178453768256865,8.0,1.5178453768256865,0
week,131,217,33.0,98.0,0.15207373271889402,2,2,2,114,139,716,0.23741007194244604,0.13687150837988826,0.5507463166258623,4.0,0.5507463166258623,0
customers,70,217,37.0,33.0,0.17050691244239632,2,1,2,115,139,716,0.26618705035971224,0.046089385474860335,1.7536165850076981,9.0,1.7536165850076981,0
changes,117,217,23.0,94.0,0.10599078341013825,2,2,2,116,139,716,0.16546762589928057,0.13128491620111732,0.2314056674890997,7.0,0.2314056674890997,0
meeting,107,216,37.0,70.0,0.1712962962962963,2,2,2,117,139,716,0.26618705035971224,0.09776536312849161,1.0016289044248192,7.0,1.0016289044248192,0
first,112,214,35.0,77.0,0.16355140186915887,2,2,2,118,139,716,0.2517985611510791,0.10754189944134078,0.8507488734656836,5.0,0.8507488734656836,0
natural,63,211,29.0,34.0,0.13744075829383887,2,1,2,119,139,716,0.20863309352517986,0.04748603351955307,1.4801415392002666,7.0,1.4801415392002666,0
per,125,210,40.0,85.0,0.19047619047619047,2,2,2,120,139,716,0.28776978417266186,0.11871508379888268,0.8854344314535737,3.0,0.8854344314535737,0
demand,72,209,46.0,26.0,0.22009569377990432,2,1,2,121,139,716,0.33093525179856115,0.036312849162011177,2.2097510922975667,6.0,2.2097510922975667,0
7,100,208,28.0,72.0,0.1346153846153846,2,2,2,122,139,716,0.2014388489208633,0.1005586592178771,0.6947446249891024,1.0,0.6947446249891024,0
c,106,208,32.0,74.0,0.15384615384615385,2,2,2,123,139,716,0.2302158273381295,0.10335195530726257,0.8008770434255107,1.0,0.8008770434255107,0
generation,65,207,41.0,24.0,0.19806763285024154,2,1,2,124,139,716,0.2949640287769784,0.0335195530726257,2.174724470186316,10.0,2.174724470186316,0
pg,70,207,29.0,41.0,0.14009661835748793,2,1,2,125,139,716,0.20863309352517986,0.05726256983240224,1.2929299971121202,2.0,1.2929299971121202,0
comments,137,202,25.0,112.0,0.12376237623762376,2,2,2,126,139,716,0.17985611510791366,0.1564245810055866,0.13958318740306006,8.0,0.13958318740306006,0
0,59,202,17.0,42.0,0.08415841584158416,2,1,2,127,139,716,0.1223021582733813,0.05865921787709497,0.7347499596028016,1.0,0.7347499596028016,0
fax,144,202,22.0,122.0,0.10891089108910891,2,2,2,128,139,716,0.15827338129496402,0.17039106145251395,-0.07377235754498682,3.0,0.07377235754498682,0
questions,168,201,30.0,138.0,0.14925373134328357,2,2,2,129,139,716,0.2158273381294964,0.19273743016759776,0.11314993033490453,9.0,0.11314993033490453,0
capacity,77,198,44.0,33.0,0.2222222222222222,2,1,2,130,139,716,0.31654676258992803,0.046089385474860335,1.9268883062817346,8.0,1.9268883062817346,0
next,113,198,36.0,77.0,0.18181818181818182,2,2,2,131,139,716,0.2589928057553957,0.10754189944134078,0.87891975043238,4.0,0.87891975043238,0
order,90,196,36.0,54.0,0.1836734693877551,2,1,2,132,139,716,0.2589928057553957,0.07541899441340782,1.2337411257217894,5.0,1.2337411257217894,0
vince,50,195,5.0,45.0,0.02564102564102564,2,1,2,133,139,716,0.03597122302158273,0.06284916201117319,-0.5580183435062657,5.0,0.5580183435062657,0
20,110,194,31.0,79.0,0.15979381443298968,2,2,2,134,139,716,0.22302158273381295,0.11033519553072625,0.7037455858480787,2.0,0.7037455858480787,0
make,121,194,45.0,76.0,0.23195876288659795,2,2,2,135,139,716,0.3237410071942446,0.10614525139664804,1.1151353833139424,4.0,1.1151353833139424,0
contract,78,192,22.0,56.0,0.11458333333333333,2,1,2,136,139,716,0.15827338129496402,0.0782122905027933,0.7048969964531204,8.0,0.7048969964531204,0
bill,76,191,27.0,49.0,0.14136125654450263,2,1,2,137,139,716,0.19424460431654678,0.06843575418994413,1.0432228017236564,4.0,1.0432228017236564,0
wholesale,58,190,36.0,22.0,0.18947368421052632,2,1,2,138,139,716,0.2589928057553957,0.030726256983240222,2.131682718927748,9.0,2.131682718927748,0
davis,48,190,21.0,27.0,0.11052631578947368,2,1,2,139,139,716,0.1510791366906475,0.03770949720670391,1.3878918055490477,5.0,1.3878918055490477,0
legal,112,190,18.0,94.0,0.09473684210526316,2,2,2,140,139,716,0.12949640287769784,0.13128491620111732,-0.013716790543885393,5.0,0.013716790543885393,0
rate,72,188,38.0,34.0,0.20212765957446807,2,1,2,141,139,716,0.2733812949640288,0.04748603351955307,1.7504318689401783,4.0,1.7504318689401783,0
mary,93,186,28.0,65.0,0.15053763440860216,2,1,2,142,139,716,0.2014388489208633,0.09078212290502793,0.7970234741095207,4.0,0.7970234741095207,0
term,81,184,36.0,45.0,0.1956521739130435,2,1,2,143,139,716,0.2589928057553957,0.06284916201117319,1.416062682515744,4.0,1.416062682515744,0
since,100,184,34.0,66.0,0.18478260869565216,2,2,2,144,139,716,0.2446043165467626,0.09217877094972067,0.9759120164196897,5.0,0.9759120164196897,0
50,75,183,28.0,47.0,0.15300546448087432,2,1,2,145,139,716,0.2014388489208633,0.06564245810055866,1.1212631422950992,2.0,1.1212631422950992,0
co,54,182,14.0,40.0,0.07692307692307693,2,1,2,146,139,716,0.10071942446043165,0.055865921787709494,0.5893841093312762,2.0,0.5893841093312762,0
utility,60,181,34.0,26.0,0.1878453038674033,2,1,2,147,139,716,0.2446043165467626,0.036312849162011177,1.9074702204246332,7.0,1.9074702204246332,0
issue,100,181,36.0,64.0,0.19889502762430938,2,2,2,148,139,716,0.2589928057553957,0.0893854748603352,1.063842088926392,5.0,1.063842088926392,0
today,120,180,36.0,84.0,0.2,2,2,2,149,139,716,0.2589928057553957,0.11731843575418995,0.7919083734427502,5.0,0.7919083734427502,0
9,90,180,28.0,62.0,0.15555555555555556,2,1,2,150,139,716,0.2014388489208633,0.08659217877094973,0.8442763589600661,1.0,0.8442763589600661,0
dynegy,40,179,21.0,19.0,0.11731843575418995,2,1,2,151,139,716,0.1510791366906475,0.02653631284916201,1.7392896923869365,6.0,1.7392896923869365,0
date,99,179,22.0,77.0,0.12290502793296089,2,1,2,152,139,716,0.15827338129496402,0.10754189944134078,0.38644326533458584,4.0,0.38644326533458584,0
north,108,179,22.0,86.0,0.12290502793296089,2,2,2,153,139,716,0.15827338129496402,0.12011173184357542,0.27590139093476185,5.0,0.27590139093476185,0
based,97,179,39.0,58.0,0.21787709497206703,2,1,2,154,139,716,0.2805755395683453,0.08100558659217877,1.242324869413181,5.0,1.242324869413181,0
org,31,178,7.0,24.0,0.03932584269662921,2,1,2,155,139,716,0.050359712230215826,0.0335195530726257,0.40706255253732154,3.0,0.40706255253732154,0
richard,97,178,38.0,59.0,0.21348314606741572,2,1,2,156,139,716,0.2733812949640288,0.0824022346368715,1.1992549496506202,7.0,1.1992549496506202,0
month,85,177,30.0,55.0,0.1694915254237288,2,1,2,157,139,716,0.2158273381294964,0.07681564245810056,1.0330704302596383,5.0,1.0330704302596383,0
still,96,177,36.0,60.0,0.2033898305084746,2,1,2,158,139,716,0.2589928057553957,0.08379888268156424,1.1283806100639633,5.0,1.1283806100639633,0
issues,117,176,38.0,79.0,0.2159090909090909,2,2,2,159,139,716,0.2733812949640288,0.11033519553072625,0.9073445410893184,6.0,0.9073445410893184,0
13,92,176,27.0,65.0,0.1534090909090909,2,1,2,160,139,716,0.19424460431654678,0.09078212290502793,0.7606558299386459,2.0,0.7606558299386459,0
provide,107,176,39.0,68.0,0.2215909090909091,2,2,2,161,139,716,0.2805755395683453,0.09497206703910614,1.0832601747834936,7.0,1.0832601747834936,0
enronxgate,50,175,7.0,43.0,0.04,2,1,2,162,139,716,0.050359712230215826,0.06005586592178771,-0.1760837328082952,10.0,0.1760837328082952,0
rates,58,175,36.0,22.0,0.2057142857142857,2,1,2,163,139,716,0.2589928057553957,0.030726256983240222,2.131682718927748,5.0,2.131682718927748,0
lon,53,175,2.0,51.0,0.011428571428571429,2,1,2,164,139,716,0.014388489208633094,0.0712290502793296,-1.5994722183344265,3.0,1.5994722183344265,0
project,64,174,11.0,53.0,0.06321839080459771,2,1,2,165,139,716,0.07913669064748201,0.07402234636871509,0.06680959307620249,7.0,0.06680959307620249,0
much,96,174,37.0,59.0,0.21264367816091953,2,1,2,166,139,716,0.26618705035971224,0.0824022346368715,1.1725867025684589,4.0,1.1725867025684589,0
take,113,172,44.0,69.0,0.2558139534883721,2,2,2,167,139,716,0.31654676258992803,0.09636871508379888,1.1892893631509556,4.0,1.1892893631509556,0
22,103,171,28.0,75.0,0.16374269005847952,2,2,2,168,139,716,0.2014388489208633,0.10474860335195531,0.6539226304688472,2.0,0.6539226304688472,0
back,116,171,34.0,82.0,0.19883040935672514,2,2,2,169,139,716,0.2446043165467626,0.11452513966480447,0.7588475111818621,4.0,0.7588475111818621,0
original,115,171,22.0,93.0,0.1286549707602339,2,2,2,170,139,716,0.15827338129496402,0.12988826815642457,0.19764919403501374,8.0,0.19764919403501374,0
think,113,169,27.0,86.0,0.15976331360946747,2,2,2,171,139,716,0.19424460431654678,0.12011173184357542,0.4806958035807753,5.0,0.4806958035807753,0
management,73,169,18.0,55.0,0.10650887573964497,2,1,2,172,139,716,0.12949640287769784,0.07681564245810056,0.5222448064936477,10.0,0.5222448064936477,0
email,102,168,12.0,90.0,0.07142857142857142,2,2,2,173,139,716,0.08633093525179857,0.12569832402234637,-0.3756967867123108,5.0,0.3756967867123108,0
inc,72,167,25.0,47.0,0.1497005988023952,2,1,2,174,139,716,0.17985611510791366,0.06564245810055866,1.007934456988096,3.0,1.007934456988096,0
financial,58,167,17.0,41.0,0.10179640718562874,2,1,2,175,139,716,0.1223021582733813,0.05726256983240224,0.7588475111818621,9.0,0.7588475111818621,0
16,92,166,17.0,75.0,0.10240963855421686,2,1,2,176,139,716,0.1223021582733813,0.10474860335195531,0.15493146434985947,2.0,0.15493146434985947,0
file,99,165,21.0,78.0,0.12727272727272726,2,1,2,177,139,716,0.1510791366906475,0.10893854748603352,0.32701984486378527,4.0,0.32701984486378527,0
long,72,164,35.0,37.0,0.21341463414634146,2,1,2,178,139,716,0.2517985611510791,0.051675977653631286,1.583636382675143,4.0,1.583636382675143,0
mike,86,164,18.0,68.0,0.10975609756097561,2,1,2,179,139,716,0.12949640287769784,0.09497206703910614,0.31007028655001184,4.0,0.31007028655001184,0
